start,end,group
6400,6551.83235,Current Line
6400,6813.952157,Current Line
6400,6767.815392,Current Line
6400,7035.205418,Current Line
6400,6771.61059,Current Line
6400,6835.27669,Current Line
6400,6554.749501,Current Line
6400,6842.643054,Current Line
6400,6768.410938,Current Line
6400,6883.745815,Current Line
6400,6866.266084,Current Line
6400,6541.261973,Current Line
6400,6712.556684,Current Line
6400,6793.1373,Current Line
6400,6794.351394,Current Line
6400,6762.408242,Current Line
6400,6922.367501,Current Line
6400,6651.865682,Current Line
6400,6875.908897,Current Line
6400,6826.245024,Current Line
6400,6766.011901,Current Line
6400,6742.675504,Current Line
6400,6704.712797,Current Line
6400,6869.724824,Current Line
6400,6689.185429,Current Line
6400,6894.136357,Current Line
6400,6667.036112,Current Line
6400,6698.150323,Current Line
6400,7134.537005,Current Line
6400,6814.014552,Current Line
6400,6811.57344,Current Line
6400,6834.899521,Current Line
6400,6637.903808,Current Line
6400,6920.152944,Current Line
6400,6837.765433,Current Line
6400,6820.302147,Current Line
6400,6623.543695,Current Line
6400,6888.507572,Current Line
6400,6745.864312,Current Line
6400,6879.278737,Current Line
6400,6782.310807,Current Line
6400,6864.172796,Current Line
6400,6963.385708,Current Line
6400,6897.426618,Current Line
6400,6815.248273,Current Line
6400,6741.646128,Current Line
6400,6798.674203,Current Line
6400,6859.264903,Current Line
6400,6893.20234,Current Line
6400,6849.22137,Current Line
6400,6892.974003,Current Line
6400,6868.837093,Current Line
6400,6807.755522,Current Line
6400,6628.43892,Current Line
6400,6843.412968,Current Line
6400,6627.774749,Current Line
6400,6619.148664,Current Line
6400,6816.21243,Current Line
6400,6792.770172,Current Line
6400,6809.190099,Current Line
6400,6764.843552,Current Line
6400,6899.402636,Current Line
6400,6654.270975,Current Line
6400,6889.720244,Current Line
6400,7025.843593,Current Line
6400,6625.028033,Current Line
6400,6849.036178,Current Line
6400,6952.478954,Current Line
6400,6873.334116,Current Line
6400,7039.095393,Current Line
6400,6731.582626,Current Line
6400,6689.130309,Current Line
6400,6987.63012,Current Line
6400,6632.138525,Current Line
6400,6787.399438,Current Line
6400,6749.96751,Current Line
6400,6969.464079,Current Line
6400,6891.344379,Current Line
6400,6581.245311,Current Line
6400,6957.589188,Current Line
6400,6734.118038,Current Line
6400,6873.438654,Current Line
6400,6962.954623,Current Line
6400,6855.826014,Current Line
6400,6690.838326,Current Line
6400,6988.102656,Current Line
6400,6700.098346,Current Line
6400,6855.941815,Current Line
6400,6772.150714,Current Line
6400,7043.654648,Current Line
6400,6918.857524,Current Line
6400,7020.95255,Current Line
6400,6716.863558,Current Line
6400,6886.596857,Current Line
6400,6859.425678,Current Line
6400,6941.344659,Current Line
6400,6768.088753,Current Line
6400,6723.174264,Current Line
6400,6764.02519,Current Line
6400,6944.040484,Current Line
6400,6576.808848,Current Line
6400,6763.151754,Current Line
6400,6776.543622,Current Line
6400,6668.736938,Current Line
6400,6815.207287,Current Line
6400,6798.950955,Current Line
6400,6970.158385,Current Line
6400,6804.75221,Current Line
6400,6705.615507,Current Line
6400,6800.522727,Current Line
6400,6712.533896,Current Line
6400,6877.58815,Current Line
6400,6978.916631,Current Line
6400,6901.590852,Current Line
6400,6717.947482,Current Line
6400,6824.8625,Current Line
6400,6667.793665,Current Line
6400,6889.392116,Current Line
6400,6904.886411,Current Line
6400,6662.915756,Current Line
6400,7004.425562,Current Line
6400,6781.648441,Current Line
6400,6755.614512,Current Line
6400,6847.02349,Current Line
6400,6923.109726,Current Line
6400,6915.221635,Current Line
6400,6690.120521,Current Line
6400,6846.254788,Current Line
6400,6699.169609,Current Line
6400,6915.678447,Current Line
6400,6660.181944,Current Line
6400,6472.27716,Current Line
6400,6844.593851,Current Line
6400,6810.19708,Current Line
6400,6897.879952,Current Line
6400,6839.687599,Current Line
6400,6983.67637,Current Line
6400,6939.869241,Current Line
6400,6870.254131,Current Line
6400,6862.300964,Current Line
6400,6789.107012,Current Line
6400,6713.457966,Current Line
6400,6854.060947,Current Line
6400,6619.415309,Current Line
6400,6802.259578,Current Line
6400,6773.21061,Current Line
6400,6947.159879,Current Line
6400,6752.7287,Current Line
6400,6972.18707,Current Line
6400,6965.96132,Current Line
6400,6691.94599,Current Line
6400,6715.18883,Current Line
6400,6969.85187,Current Line
6400,6784.05079,Current Line
6400,6810.12414,Current Line
6400,6792.57673,Current Line
6400,6753.30756,Current Line
6400,6935.864,Current Line
6400,6828.73626,Current Line
6400,6932.16246,Current Line
6400,6727.10517,Current Line
6400,6746.28044,Current Line
6400,6916.30315,Current Line
6400,6769.19173,Current Line
6400,6838.44728,Current Line
6400,6744.23144,Current Line
6400,6706.5309,Current Line
6400,6887.98525,Current Line
6400,6835.16147,Current Line
6400,6882.16164,Current Line
6400,6730.28343,Current Line
6400,6800.52708,Current Line
6400,6823.80312,Current Line
6400,6683.08011,Current Line
6400,6954.99847,Current Line
6400,6823.80794,Current Line
6400,6778.84645,Current Line
6400,7025.57519,Current Line
6400,6769.91737,Current Line
6400,6902.86276,Current Line
6400,6736.04049,Current Line
6400,6817.53816,Current Line
6400,6917.38293,Current Line
6400,6643.8375,Current Line
6400,6800.42429,Current Line
6400,6847.69537,Current Line
6400,6767.42455,Current Line
6400,6706.16138,Current Line
6400,6872.66629,Current Line
6400,6716.13167,Current Line
6400,6854.52277,Current Line
6400,6875.96305,Current Line
6400,6685.3525,Current Line
6400,6846.90201,Current Line
6400,6707.41837,Current Line
6400,6832.05304,Current Line
6400,6741.97836,Current Line
6400,6775.96782,Current Line
6400,6862.04698,Current Line
6400,6775.2282,Current Line
6400,6800.12138,Current Line
6400,6840.22103,Current Line
6400,6796.67863,Current Line
6400,6990.61894,Current Line
6400,6810.26595,Current Line
6400,6646.02292,Current Line
6400,6836.19606,Current Line
6400,6848.21022,Current Line
6400,6752.20771,Current Line
6400,6698.14755,Current Line
6400,6890.7313,Current Line
6400,6731.25047,Current Line
6400,6902.40759,Current Line
6400,6756.69875,Current Line
6400,6726.05211,Current Line
6400,6840.55202,Current Line
6400,6817.9883,Current Line
6400,6875.51382,Current Line
6400,6812.91651,Current Line
6400,6846.70256,Current Line
