start,end,group
6345,7005.573562,Current Line
6345,6744.611686,Current Line
6345,6626.171504,Current Line
6345,6869.930897,Current Line
6345,6880.554715,Current Line
6345,6674.590261,Current Line
6345,6751.899042,Current Line
6345,6618.024639,Current Line
6345,6725.585285,Current Line
6345,6781.355842,Current Line
6345,6634.842032,Current Line
6345,6816.025309,Current Line
6345,6696.380678,Current Line
6345,6736.375721,Current Line
6345,6752.095814,Current Line
6345,6746.896908,Current Line
6345,6706.567087,Current Line
6345,6896.170024,Current Line
6345,6538.265202,Current Line
6345,6738.076122,Current Line
6345,6640.390706,Current Line
6345,6638.770943,Current Line
6345,6761.488682,Current Line
6345,6801.738722,Current Line
6345,6962.926061,Current Line
6345,6830.315773,Current Line
6345,6691.065494,Current Line
6345,6806.164725,Current Line
6345,6809.192527,Current Line
6345,6759.938386,Current Line
6345,6877.474229,Current Line
6345,6721.717611,Current Line
6345,6661.352254,Current Line
6345,6777.215194,Current Line
6345,6646.206183,Current Line
6345,6661.508866,Current Line
6345,6723.597036,Current Line
6345,6949.637092,Current Line
6345,6569.499407,Current Line
6345,6773.930158,Current Line
6345,6896.945606,Current Line
6345,6822.064468,Current Line
6345,6797.523682,Current Line
6345,6719.428749,Current Line
6345,6903.92724,Current Line
6345,6665.590985,Current Line
6345,6904.029089,Current Line
6345,6978.796748,Current Line
6345,6967.960097,Current Line
6345,6938.116613,Current Line
6345,6760.413901,Current Line
6345,6910.942595,Current Line
6345,6792.058146,Current Line
6345,6671.846402,Current Line
6345,6740.744896,Current Line
6345,6749.763554,Current Line
6345,6702.898539,Current Line
6345,6673.552581,Current Line
6345,6864.039625,Current Line
6345,6752.850369,Current Line
6345,6807.820079,Current Line
6345,6810.60244,Current Line
6345,6866.306436,Current Line
6345,6897.643954,Current Line
6345,6768.292409,Current Line
6345,6855.554339,Current Line
6345,6703.795146,Current Line
6345,6846.71461,Current Line
6345,6706.635474,Current Line
6345,6897.231316,Current Line
6345,6755.37926,Current Line
6345,6778.231502,Current Line
6345,6705.313749,Current Line
6345,6836.511174,Current Line
6345,6832.217697,Current Line
6345,6777.028785,Current Line
6345,6805.507554,Current Line
6345,6784.209183,Current Line
6345,6866.282978,Current Line
6345,6636.354336,Current Line
6345,6771.332581,Current Line
6345,6941.047774,Current Line
6345,6589.267508,Current Line
6345,6749.072931,Current Line
6345,6763.169538,Current Line
6345,6767.869076,Current Line
6345,6483.648665,Current Line
6345,6902.97109,Current Line
6345,6704.590417,Current Line
6345,6735.184601,Current Line
6345,6832.090335,Current Line
6345,6790.117161,Current Line
6345,6509.330273,Current Line
6345,6739.586146,Current Line
6345,6846.106445,Current Line
6345,6834.453494,Current Line
6345,6761.562409,Current Line
6345,6666.416056,Current Line
6345,6700.794929,Current Line
6345,6740.274638,Current Line
6345,6741.359265,Current Line
6345,6752.862098,Current Line
6345,6687.254767,Current Line
6345,6763.026586,Current Line
6345,6808.131691,Current Line
6345,6673.514459,Current Line
6345,6686.241549,Current Line
6345,6836.191368,Current Line
6345,6718.929641,Current Line
6345,6976.958396,Current Line
6345,7020.656575,Current Line
6345,6756.644469,Current Line
6345,6779.800046,Current Line
6345,6553.016782,Current Line
6345,6698.925272,Current Line
6345,6853.339153,Current Line
6345,6814.933555,Current Line
6345,6703.301074,Current Line
6345,6590.661347,Current Line
6345,6834.812749,Current Line
6345,6841.515433,Current Line
6345,6687.338361,Current Line
6345,6872.320088,Current Line
6345,6981.394495,Current Line
6345,6616.660424,Current Line
6345,6881.220912,Current Line
6345,6709.520628,Current Line
6345,6893.925492,Current Line
6345,6864.443401,Current Line
6345,6706.941137,Current Line
6345,6715.930344,Current Line
6345,6600.900153,Current Line
6345,6692.357032,Current Line
6345,6770.057138,Current Line
6345,6695.349285,Current Line
6345,6603.874785,Current Line
6345,6754.201313,Current Line
6345,6738.971443,Current Line
6345,6933.852618,Current Line
6345,6688.876847,Current Line
6345,6663.36476,Current Line
6345,6857.891422,Current Line
6345,6847.781931,Current Line
6345,6731.725908,Current Line
6345,6903.016235,Current Line
6345,6755.187157,Current Line
6345,6749.99932,Current Line
