start,end,group
7695,7926.540988,Current Line
7695,8126.677541,Current Line
7695,8144.539501,Current Line
7695,7982.926533,Current Line
7695,8019.205593,Current Line
7695,8203.889225,Current Line
7695,8162.528359,Current Line
7695,8340.182752,Current Line
7695,8123.890451,Current Line
7695,8085.720519,Current Line
7695,8083.512805,Current Line
7695,8053.108122,Current Line
7695,8207.215798,Current Line
7695,8133.119861,Current Line
7695,7869.861825,Current Line
7695,8193.105328,Current Line
7695,8084.859122,Current Line
7695,8110.936712,Current Line
7695,8029.567497,Current Line
7695,8172.335909,Current Line
7695,8019.410633,Current Line
7695,8117.348091,Current Line
7695,8058.628608,Current Line
7695,8124.133261,Current Line
7695,8061.832702,Current Line
7695,8199.262029,Current Line
7695,8190.829982,Current Line
7695,7986.530616,Current Line
7695,8170.243206,Current Line
7695,8107.719257,Current Line
7695,8150.594345,Current Line
7695,7960.348983,Current Line
7695,8133.810267,Current Line
7695,8070.481165,Current Line
7695,8210.530219,Current Line
7695,8217.365123,Current Line
7695,7994.919556,Current Line
7695,8015.720551,Current Line
7695,8415.639727,Current Line
7695,8225.84266,Current Line
7695,8032.583863,Current Line
7695,8157.918123,Current Line
7695,8112.691982,Current Line
7695,8275.46372,Current Line
7695,8029.161631,Current Line
7695,8075.74695,Current Line
7695,8118.589569,Current Line
7695,8111.111462,Current Line
7695,8171.729677,Current Line
7695,8148.7106,Current Line
7695,8207.5516,Current Line
7695,8214.880411,Current Line
7695,8110.678067,Current Line
7695,8189.477847,Current Line
7695,8270.46921,Current Line
7695,8065.712762,Current Line
7695,8078.97333,Current Line
7695,7927.199975,Current Line
7695,8114.600041,Current Line
7695,8078.237444,Current Line
7695,8162.11162,Current Line
7695,8106.36271,Current Line
7695,8093.244276,Current Line
7695,8225.933104,Current Line
7695,8106.897751,Current Line
7695,7905.291441,Current Line
7695,8281.392615,Current Line
7695,8013.259555,Current Line
7695,8096.298569,Current Line
7695,7983.493993,Current Line
7695,8195.522174,Current Line
7695,7999.563068,Current Line
7695,8069.36111,Current Line
7695,8131.331645,Current Line
7695,8220.189727,Current Line
7695,8213.770079,Current Line
7695,8015.275109,Current Line
7695,8083.290247,Current Line
7695,8140.107691,Current Line
7695,8167.313173,Current Line
7695,8144.786617,Current Line
7695,7876.130895,Current Line
7695,7982.088586,Current Line
7695,8262.0052,Current Line
7695,8205.331799,Current Line
7695,8089.07517,Current Line
7695,8313.832818,Current Line
7695,8078.456747,Current Line
7695,8028.301533,Current Line
7695,8154.562073,Current Line
7695,8038.563932,Current Line
7695,8112.045812,Current Line
7695,8125.996294,Current Line
7695,8233.858482,Current Line
7695,8139.427593,Current Line
7695,7960.967382,Current Line
7695,8084.537238,Current Line
7695,8289.354904,Current Line
7695,8095.950154,Current Line
7695,8051.618113,Current Line
7695,8122.883268,Current Line
7695,8136.196429,Current Line
7695,8083.778908,Current Line
7695,8050.04463,Current Line
7695,8067.093327,Current Line
7695,8194.159183,Current Line
7695,7991.406545,Current Line
7695,8004.120913,Current Line
7695,8072.217399,Current Line
7695,8223.226895,Current Line
7695,8076.079818,Current Line
7695,7994.77329,Current Line
7695,8163.493089,Current Line
7695,8083.182695,Current Line
7695,8143.981908,Current Line
7695,8024.623404,Current Line
7695,8038.592755,Current Line
7695,8117.05787,Current Line
7695,8232.317086,Current Line
7695,8113.577968,Current Line
7695,8044.962675,Current Line
7695,8269.669729,Current Line
7695,8163.799634,Current Line
7695,8242.448717,Current Line
7695,8205.05757,Current Line
7695,8178.78331,Current Line
7695,8037.55201,Current Line
7695,8293.26901,Current Line
7695,7893.92494,Current Line
7695,8161.27627,Current Line
7695,8088.3789,Current Line
7695,8110.33668,Current Line
7695,7961.81432,Current Line
7695,8157.3081,Current Line
7695,8122.88377,Current Line
7695,8072.57972,Current Line
7695,8109.14185,Current Line
7695,8218.03784,Current Line
7695,8011.74271,Current Line
7695,8277.65337,Current Line
7695,8222.28928,Current Line
7695,8105.8608,Current Line
7695,8162.15323,Current Line
7695,8131.68851,Current Line
7695,8160.70359,Current Line
7695,8140.27373,Current Line
7695,8199.40031,Current Line
7695,8223.19208,Current Line
7695,8093.30402,Current Line
7695,8126.11937,Current Line
7695,8240.89406,Current Line
7695,8249.14429,Current Line
7695,8059.13473,Current Line
7695,8043.89835,Current Line
7695,8194.53991,Current Line
7695,8210.63126,Current Line
7695,8091.70933,Current Line
7695,8127.60585,Current Line
7695,8121.32453,Current Line
7695,8076.46464,Current Line
7695,8162.0388,Current Line
7695,8216.86587,Current Line
7695,8104.28929,Current Line
7695,8128.03634,Current Line
7695,8204.84842,Current Line
7695,8035.64202,Current Line
7695,8006.64969,Current Line
7695,8155.16448,Current Line
7695,8071.75575,Current Line
7695,8143.64788,Current Line
7695,8270.1051,Current Line
7695,8210.67044,Current Line
7695,8037.99338,Current Line
7695,7852.26375,Current Line
7695,8231.47063,Current Line
7695,8242.92906,Current Line
7695,8126.44676,Current Line
7695,8131.54957,Current Line
7695,8214.94254,Current Line
7695,8036.01724,Current Line
7695,8328.10757,Current Line
7695,8128.4166,Current Line
7695,8102.939,Current Line
7695,8139.69471,Current Line
7695,8192.65229,Current Line
7695,8003.59323,Current Line
7695,8187.81575,Current Line
7695,8132.04329,Current Line
7695,8252.54878,Current Line
7695,8033.7225,Current Line
7695,8163.70435,Current Line
7695,8284.71082,Current Line
7695,8001.95842,Current Line
7695,7917.13228,Current Line
7695,8182.68438,Current Line
7695,8217.91382,Current Line
7695,8091.15564,Current Line
7695,8187.34812,Current Line
7695,8102.74676,Current Line
7695,8019.53614,Current Line
7695,8113.09859,Current Line
7695,8134.68715,Current Line
7695,8125.7397,Current Line
7695,8061.3886,Current Line
7695,8086.97485,Current Line
7695,8213.64151,Current Line
7695,8213.82947,Current Line
7695,8056.47841,Current Line
7695,8062.75607,Current Line
7695,8030.0448,Current Line
7695,8132.22454,Current Line
7695,8122.76315,Current Line
7695,8279.65808,Current Line
7695,8216.81234,Current Line
7695,8129.04322,Current Line
7695,8211.76655,Current Line
7695,8266.14094,Current Line
7695,8100.47316,Current Line
7695,8185.71773,Current Line
7695,8055.2622,Current Line
7695,8243.00655,Current Line
7695,8050.39732,Current Line
7695,8145.88187,Current Line
7695,8175.30516,Current Line
7695,8130.66737,Current Line
7695,8174.7302,Current Line
7695,8004.186,Current Line
7695,8246.96362,Current Line
7695,8218.48087,Current Line
7695,8178.45164,Current Line
7695,8176.64572,Current Line
7695,8048.42219,Current Line
7695,8367.70143,Current Line
7695,7915.679,Current Line
7695,8115.00023,Current Line
7695,8242.95518,Current Line
7695,8181.02922,Current Line
7695,8081.77794,Current Line
7695,8311.29563,Current Line
7695,8080.98624,Current Line
7695,7891.72772,Current Line
7695,8144.14617,Current Line
7695,8184.63684,Current Line
7695,7869.56972,Current Line
7695,8034.18663,Current Line
7695,8171.22168,Current Line
7695,8215.05737,Current Line
7695,8327.8854,Current Line
7695,7971.83687,Current Line
7695,8422.94227,Current Line
7695,8038.24882,Current Line
7695,8240.34238,Current Line
7695,8072.82608,Current Line
7695,8044.88842,Current Line
7695,8098.59455,Current Line
7695,8066.53001,Current Line
7695,8041.95052,Current Line
7695,8028.92608,Current Line
7695,8076.72637,Current Line
7695,8101.01491,Current Line
7695,8142.32774,Current Line
7695,8070.41137,Current Line
7695,8213.11024,Current Line
7695,8111.68132,Current Line
7695,8114.09846,Current Line
7695,8151.96352,Current Line
7695,8133.19261,Current Line
7695,8128.54079,Current Line
7695,8189.16014,Current Line
7695,8094.77367,Current Line
7695,8081.7049,Current Line
7695,8029.73565,Current Line
7695,8137.40422,Current Line
7695,8128.94185,Current Line
7695,8092.07661,Current Line
7695,8220.92353,Current Line
7695,8137.13795,Current Line
7695,8178.01288,Current Line
7695,8000.87794,Current Line
7695,8117.38279,Current Line
7695,8212.465,Current Line
7695,8076.27406,Current Line
7695,8204.59454,Current Line
7695,8107.09306,Current Line
7695,8027.37935,Current Line
7695,8144.97763,Current Line
7695,8092.8811,Current Line
7695,8148.06711,Current Line
7695,8031.24145,Current Line
7695,7947.45278,Current Line
7695,8099.48401,Current Line
7695,7917.04373,Current Line
7695,8103.64538,Current Line
7695,8228.74525,Current Line
7695,8259.95831,Current Line
7695,8076.15882,Current Line
7695,8090.94159,Current Line
7695,8095.32842,Current Line
7695,8089.04327,Current Line
7695,8221.57888,Current Line
7695,7978.76546,Current Line
7695,8166.05819,Current Line
7695,8276.83846,Current Line
7695,8025.98863,Current Line
7695,8047.59593,Current Line
7695,7938.22493,Current Line
7695,8012.0248,Current Line
7695,8086.347127,Scenario Improved 3
7695,7953.653431,Scenario Improved 3
7695,8191.261507,Scenario Improved 3
7695,8053.722235,Scenario Improved 3
7695,8283.028351,Scenario Improved 3
7695,8163.046997,Scenario Improved 3
7695,8170.532281,Scenario Improved 3
7695,8171.850889,Scenario Improved 3
7695,8078.492936,Scenario Improved 3
7695,8155.93256,Scenario Improved 3
7695,8095.302257,Scenario Improved 3
7695,8096.831725,Scenario Improved 3
7695,7964.847378,Scenario Improved 3
7695,8395.158309,Scenario Improved 3
7695,8126.921895,Scenario Improved 3
7695,8152.47808,Scenario Improved 3
7695,8096.438575,Scenario Improved 3
7695,8009.096027,Scenario Improved 3
7695,8112.346935,Scenario Improved 3
7695,8173.028906,Scenario Improved 3
7695,8124.626738,Scenario Improved 3
7695,8256.857769,Scenario Improved 3
7695,8085.626923,Scenario Improved 3
7695,8068.504573,Scenario Improved 3
7695,7983.885607,Scenario Improved 3
7695,7919.298923,Scenario Improved 3
7695,8052.480131,Scenario Improved 3
7695,8132.090641,Scenario Improved 3
7695,8236.530406,Scenario Improved 3
7695,7921.348627,Scenario Improved 3
7695,8070.580313,Scenario Improved 3
7695,8196.755844,Scenario Improved 3
7695,8143.178241,Scenario Improved 3
7695,8204.166007,Scenario Improved 3
7695,8049.156713,Scenario Improved 3
7695,8232.510477,Scenario Improved 3
7695,8013.924733,Scenario Improved 3
7695,8073.233476,Scenario Improved 3
7695,8100.918764,Scenario Improved 3
7695,7901.023996,Scenario Improved 3
7695,8122.128435,Scenario Improved 3
7695,8144.184905,Scenario Improved 3
7695,8194.948503,Scenario Improved 3
7695,7947.99416,Scenario Improved 3
7695,8234.970121,Scenario Improved 3
7695,8011.849168,Scenario Improved 3
7695,8321.784896,Scenario Improved 3
7695,8233.881407,Scenario Improved 3
7695,7976.753046,Scenario Improved 3
7695,8169.955753,Scenario Improved 3
7695,8077.804977,Scenario Improved 3
7695,8128.517045,Scenario Improved 3
7695,8175.298886,Scenario Improved 3
7695,8003.24491,Scenario Improved 3
7695,8059.046102,Scenario Improved 3
7695,8229.725876,Scenario Improved 3
7695,7893.8405,Scenario Improved 3
7695,7870.155583,Scenario Improved 3
7695,7892.372195,Scenario Improved 3
7695,8019.77389,Scenario Improved 3
7695,8105.999138,Scenario Improved 3
7695,8207.020455,Scenario Improved 3
7695,8279.528331,Scenario Improved 3
7695,8150.423638,Scenario Improved 3
7695,8081.451073,Scenario Improved 3
7695,8017.807552,Scenario Improved 3
7695,8042.969789,Scenario Improved 3
7695,8027.635055,Scenario Improved 3
7695,8123.919342,Scenario Improved 3
7695,8125.54726,Scenario Improved 3
7695,8092.368683,Scenario Improved 3
7695,8109.807236,Scenario Improved 3
7695,8064.982988,Scenario Improved 3
7695,8117.986974,Scenario Improved 3
7695,8124.670612,Scenario Improved 3
7695,8250.286821,Scenario Improved 3
7695,7899.594141,Scenario Improved 3
7695,8191.841846,Scenario Improved 3
7695,7993.235741,Scenario Improved 3
7695,8180.965653,Scenario Improved 3
7695,8034.487647,Scenario Improved 3
7695,8191.269557,Scenario Improved 3
7695,7930.289715,Scenario Improved 3
7695,8281.108888,Scenario Improved 3
7695,8179.667903,Scenario Improved 3
7695,8137.591678,Scenario Improved 3
7695,8019.468478,Scenario Improved 3
7695,8018.492012,Scenario Improved 3
7695,8205.684843,Scenario Improved 3
7695,8062.803058,Scenario Improved 3
7695,8032.02419,Scenario Improved 3
7695,8145.760964,Scenario Improved 3
7695,8092.432495,Scenario Improved 3
7695,8196.383922,Scenario Improved 3
7695,8018.889313,Scenario Improved 3
7695,8215.578892,Scenario Improved 3
7695,8211.610722,Scenario Improved 3
7695,8083.124704,Scenario Improved 3
7695,8027.736177,Scenario Improved 3
7695,8107.121441,Scenario Improved 3
7695,8036.066132,Scenario Improved 3
7695,8323.965665,Scenario Improved 3
7695,8129.557633,Scenario Improved 3
7695,7958.294187,Scenario Improved 3
7695,8266.728032,Scenario Improved 3
7695,7839.034683,Scenario Improved 3
7695,8071.776565,Scenario Improved 3
7695,8156.511253,Scenario Improved 3
7695,8182.628262,Scenario Improved 3
7695,7922.032332,Scenario Improved 3
7695,8063.299547,Scenario Improved 3
7695,8085.966593,Scenario Improved 3
7695,8051.637587,Scenario Improved 3
7695,8129.72922,Scenario Improved 3
7695,8350.479063,Scenario Improved 3
7695,8231.129298,Scenario Improved 3
7695,8125.736894,Scenario Improved 3
7695,8104.038499,Scenario Improved 3
7695,8151.579617,Scenario Improved 3
7695,8124.80112,Scenario Improved 3
7695,8301.580203,Scenario Improved 3
7695,8063.337004,Scenario Improved 3
7695,8205.035845,Scenario Improved 3
7695,8171.941107,Scenario Improved 3
7695,8090.00176,Scenario Improved 3
7695,8098.47121,Scenario Improved 3
7695,7971.72022,Scenario Improved 3
7695,8192.83115,Scenario Improved 3
7695,7977.39155,Scenario Improved 3
7695,7972.3925,Scenario Improved 3
7695,8199.81526,Scenario Improved 3
7695,8061.47215,Scenario Improved 3
7695,8078.30994,Scenario Improved 3
7695,8064.11749,Scenario Improved 3
7695,8173.82142,Scenario Improved 3
7695,8015.80842,Scenario Improved 3
7695,8172.52256,Scenario Improved 3
7695,8049.18952,Scenario Improved 3
7695,8060.86515,Scenario Improved 3
7695,8240.77994,Scenario Improved 3
7695,8163.8862,Scenario Improved 3
7695,8291.74814,Scenario Improved 3
7695,8029.98454,Scenario Improved 3
7695,8244.1621,Scenario Improved 3
7695,8120.09783,Scenario Improved 3
7695,8274.50544,Scenario Improved 3
7695,8162.30093,Scenario Improved 3
7695,8128.30138,Scenario Improved 3
7695,8214.53646,Scenario Improved 3
7695,8126.91395,Scenario Improved 3
7695,8002.86155,Scenario Improved 3
7695,8186.93922,Scenario Improved 3
7695,8190.39928,Scenario Improved 3
7695,7998.31488,Scenario Improved 3
7695,8293.51629,Scenario Improved 3
7695,8045.37279,Scenario Improved 3
7695,8113.32404,Scenario Improved 3
7695,8109.50167,Scenario Improved 3
7695,8247.7142,Scenario Improved 3
7695,8200.23403,Scenario Improved 3
7695,8062.93281,Scenario Improved 3
7695,8183.63652,Scenario Improved 3
7695,7999.72295,Scenario Improved 3
7695,8009.09636,Scenario Improved 3
7695,8039.23618,Scenario Improved 3
7695,8150.53415,Scenario Improved 3
7695,8115.23022,Scenario Improved 3
7695,7760.88082,Scenario Improved 3
7695,7887.19228,Scenario Improved 3
7695,8329.47922,Scenario Improved 3
7695,8187.97,Scenario Improved 3
7695,8177.55402,Scenario Improved 3
7695,8221.08697,Scenario Improved 3
7695,8131.23886,Scenario Improved 3
7695,8055.9209,Scenario Improved 3
7695,8076.57641,Scenario Improved 3
7695,8193.32954,Scenario Improved 3
7695,8103.42914,Scenario Improved 3
7695,8315.2064,Scenario Improved 3
7695,8077.49873,Scenario Improved 3
7695,8282.93962,Scenario Improved 3
7695,8104.36145,Scenario Improved 3
7695,8046.43308,Scenario Improved 3
7695,7948.12972,Scenario Improved 3
7695,8125.58591,Scenario Improved 3
7695,7976.80132,Scenario Improved 3
7695,7933.08056,Scenario Improved 3
7695,8168.54893,Scenario Improved 3
7695,8016.64798,Scenario Improved 3
7695,8162.82919,Scenario Improved 3
7695,8144.40793,Scenario Improved 3
7695,8001.09412,Scenario Improved 3
7695,8339.79026,Scenario Improved 3
7695,8146.37615,Scenario Improved 3
7695,8018.65108,Scenario Improved 3
7695,8206.742,Scenario Improved 3
7695,7990.18207,Scenario Improved 3
7695,8270.65198,Scenario Improved 3
7695,7934.16761,Scenario Improved 3
7695,8102.05681,Scenario Improved 3
7695,8074.51108,Scenario Improved 3
7695,8186.13925,Scenario Improved 3
7695,8381.43923,Scenario Improved 3
7695,8129.4164,Scenario Improved 3
7695,8042.83863,Scenario Improved 3
7695,8057.06587,Scenario Improved 3
7695,8196.41031,Scenario Improved 3
7695,8096.98204,Scenario Improved 3
7695,8200.01649,Scenario Improved 3
7695,8089.47649,Scenario Improved 3
7695,7942.22741,Scenario Improved 3
7695,8288.53469,Scenario Improved 3
7695,8284.33996,Scenario Improved 3
7695,8157.47753,Scenario Improved 3
7695,8191.62997,Scenario Improved 3
7695,8074.17629,Scenario Improved 3
7695,8166.56584,Scenario Improved 3
7695,8275.39103,Scenario Improved 3
7695,8198.32126,Scenario Improved 3
7695,8259.99923,Scenario Improved 3
7695,8054.52579,Scenario Improved 3
7695,8006.70089,Scenario Improved 3
7695,8080.1146,Scenario Improved 3
7695,8145.00646,Scenario Improved 3
7695,8250.93232,Scenario Improved 3
7695,8193.49679,Scenario Improved 3
7695,7927.89433,Scenario Improved 3
7695,8206.61132,Scenario Improved 3
7695,8150.24986,Scenario Improved 3
7695,8074.2111,Scenario Improved 3
7695,8108.94969,Scenario Improved 3
7695,8084.50127,Scenario Improved 3
7695,8207.18242,Scenario Improved 3
7695,8198.79586,Scenario Improved 3
7695,8103.3982,Scenario Improved 3
7695,7977.47982,Scenario Improved 3
7695,8100.65319,Scenario Improved 3
7695,8271.08702,Scenario Improved 3
7695,8260.95899,Scenario Improved 3
7695,7870.22742,Scenario Improved 3
7695,8039.62824,Scenario Improved 3
7695,7974.21411,Scenario Improved 3
7695,8025.99077,Scenario Improved 3
7695,8041.43492,Scenario Improved 3
7695,8215.32948,Scenario Improved 3
7695,8219.91544,Scenario Improved 3
7695,8052.86166,Scenario Improved 3
7695,8243.09884,Scenario Improved 3
7695,7969.90855,Scenario Improved 3
7695,8151.57384,Scenario Improved 3
7695,8196.97999,Scenario Improved 3
7695,7999.23442,Scenario Improved 3
7695,8125.85564,Scenario Improved 3
7695,8086.52888,Scenario Improved 3
7695,8182.76021,Scenario Improved 3
