start,end,group
10720,11345.66244,Current Line
10720,11134.76256,Current Line
10720,11078.98773,Current Line
10720,11098.8581,Current Line
10720,11040.53745,Current Line
10720,11233.88877,Current Line
10720,11307.82584,Current Line
10720,11157.39374,Current Line
10720,11196.57196,Current Line
10720,11198.97475,Current Line
10720,11100.09742,Current Line
10720,11128.15022,Current Line
10720,11202.28686,Current Line
10720,11245.34219,Current Line
10720,11189.56445,Current Line
10720,11159.55891,Current Line
10720,11272.64423,Current Line
10720,11167.33766,Current Line
10720,11034.94343,Current Line
10720,11151.0447,Current Line
10720,11292.68171,Current Line
10720,11138.88284,Current Line
10720,11241.18116,Current Line
10720,11034.01166,Current Line
10720,11237.31098,Current Line
10720,11453.9199,Current Line
10720,11176.35083,Current Line
10720,10953.66675,Current Line
10720,11162.54754,Current Line
10720,11220.55351,Current Line
10720,11263.01815,Current Line
10720,11345.99676,Current Line
10720,11209.49494,Current Line
10720,11306.40981,Current Line
10720,11197.31734,Current Line
10720,11124.11945,Current Line
10720,11096.7737,Current Line
10720,10970.98345,Current Line
10720,11115.64748,Current Line
10720,11234.51962,Current Line
10720,11114.88885,Current Line
10720,11134.28522,Current Line
10720,11241.93496,Current Line
10720,11114.63235,Current Line
10720,11272.39611,Current Line
10720,11100.35387,Current Line
10720,11051.67509,Current Line
10720,10975.27793,Current Line
10720,11180.25613,Current Line
10720,11098.96093,Current Line
10720,11102.5938,Current Line
10720,11252.69238,Current Line
10720,11114.11743,Current Line
10720,11062.45887,Current Line
10720,11101.44412,Current Line
10720,11118.32198,Current Line
10720,11089.20031,Current Line
10720,11086.44887,Current Line
10720,11308.0588,Current Line
10720,11090.54739,Current Line
10720,11256.18824,Current Line
10720,11246.42184,Current Line
10720,11177.94831,Current Line
10720,11132.81315,Current Line
10720,11093.0282,Current Line
10720,11069.43737,Current Line
10720,11144.55664,Current Line
10720,11121.06164,Current Line
10720,11025.25843,Current Line
10720,11119.04253,Current Line
10720,11062.78116,Current Line
10720,10990.244,Current Line
10720,11091.19368,Current Line
10720,11076.48133,Current Line
10720,11220.42773,Current Line
10720,11181.19848,Current Line
10720,11374.41199,Current Line
10720,11219.46491,Current Line
10720,11266.83778,Current Line
10720,11163.84475,Current Line
10720,11157.96098,Current Line
10720,11181.4384,Current Line
10720,11036.59655,Current Line
10720,11119.29506,Current Line
10720,11214.54972,Current Line
10720,11199.65407,Current Line
10720,11257.7579,Current Line
10720,11059.78353,Current Line
10720,11337.03673,Current Line
10720,11312.78698,Current Line
10720,10969.90154,Current Line
10720,11107.59327,Current Line
10720,11092.92561,Current Line
10720,11005.83197,Current Line
10720,11144.03455,Current Line
10720,11289.64849,Current Line
10720,11097.20186,Current Line
10720,11073.79336,Current Line
10720,10913.90764,Current Line
10720,11129.12595,Current Line
10720,11135.55321,Current Line
10720,11122.03836,Current Line
10720,11177.69191,Current Line
10720,11284.38169,Current Line
10720,11065.95985,Current Line
10720,11034.47605,Current Line
10720,11089.09117,Current Line
10720,11279.62223,Current Line
10720,11189.62328,Current Line
10720,11030.79154,Current Line
10720,11010.28363,Current Line
10720,11176.49202,Current Line
10720,10948.74605,Current Line
10720,11216.14957,Current Line
10720,11084.80857,Current Line
10720,11097.72705,Current Line
10720,11162.73242,Current Line
10720,11111.18289,Current Line
10720,10950.98302,Current Line
10720,11057.99474,Current Line
10720,11245.66211,Current Line
10720,11083.4301,Current Line
10720,11261.13014,Current Line
10720,11049.48018,Current Line
10720,11062.3151,Current Line
10720,11298.58882,Current Line
10720,11100.24714,Current Line
10720,10993.88552,Current Line
10720,11103.12347,Current Line
10720,11159.15759,Current Line
10720,11268.83089,Current Line
10720,11013.38418,Current Line
10720,11146.10439,Current Line
10720,11185.42106,Current Line
10720,11153.62133,Current Line
10720,11217.87121,Current Line
10720,11214.17002,Current Line
10720,10974.0173,Current Line
10720,11206.12947,Current Line
10720,11152.47229,Current Line
10720,10937.82036,Current Line
10720,11193.91775,Current Line
10720,10985.45584,Current Line
10720,11223.15689,Current Line
10720,11261.33459,Current Line
10720,11070.84421,Current Line
10720,11129.52853,Current Line
10720,11199.46498,Current Line
10720,11118.27738,Current Line
10720,11014.16953,Current Line
10720,11229.62912,Current Line
10720,11162.00109,Current Line
10720,11197.03408,Current Line
10720,11083.42466,Current Line
10720,11183.0142,Current Line
10720,11166.09017,Current Line
10720,11083.14727,Current Line
10720,11278.48617,Current Line
10720,11130.82548,Current Line
10720,11079.39364,Current Line
10720,11341.35948,Current Line
10720,11087.06961,Current Line
10720,11176.17299,Current Line
10720,11226.54866,Current Line
10720,11172.80386,Current Line
10720,11273.80343,Current Line
10720,11152.94254,Current Line
10720,11126.05473,Current Line
10720,11118.72589,Current Line
10720,11169.35516,Current Line
10720,11186.10449,Current Line
10720,11246.13454,Current Line
10720,11169.24607,Current Line
10720,11069.63489,Current Line
10720,11038.97317,Current Line
10720,11082.53098,Current Line
10720,11150.69203,Current Line
10720,11309.70274,Current Line
10720,11093.0414,Current Line
10720,11165.34978,Current Line
10720,11282.15704,Current Line
10720,11124.57521,Current Line
10720,11212.69721,Current Line
10720,10940.6209,Current Line
10720,11013.30844,Current Line
10720,11047.31915,Current Line
10720,11206.7495,Current Line
10720,11296.3389,Current Line
10720,11085.16879,Current Line
10720,11239.86255,Current Line
10720,10863.27501,Current Line
10720,11144.38254,Current Line
10720,11202.53074,Current Line
10720,11217.9621,Current Line
10720,11125.22394,Current Line
10720,11077.73351,Current Line
10720,11171.7605,Current Line
10720,11061.86129,Current Line
10720,11136.56034,Current Line
10720,11064.16344,Current Line
10720,11109.13625,Current Line
10720,11352.52404,Current Line
10720,11032.66414,Current Line
10720,11302.93894,Current Line
10720,11053.17828,Current Line
10720,11176.8684,Current Line
10720,11058.4684,Current Line
10720,11132.24308,Current Line
