start,end,group
4860,5317.647532,Current Line
4860,5212.816223,Current Line
4860,5273.476294,Current Line
4860,5224.206572,Current Line
4860,5435.129859,Current Line
4860,5159.607922,Current Line
4860,5320.710092,Current Line
4860,5154.432344,Current Line
4860,5215.20496,Current Line
4860,5159.167897,Current Line
4860,5372.246122,Current Line
4860,5343.828055,Current Line
4860,5233.679008,Current Line
4860,5286.341076,Current Line
4860,5299.699871,Current Line
4860,5334.522324,Current Line
4860,5015.220441,Current Line
4860,5260.737215,Current Line
4860,5485.243641,Current Line
4860,5247.51058,Current Line
4860,5251.442866,Current Line
4860,5448.812554,Current Line
4860,5153.755008,Current Line
4860,5185.811241,Current Line
4860,5276.697873,Current Line
4860,5521.674599,Current Line
4860,5276.302699,Current Line
4860,5230.374631,Current Line
4860,5212.998815,Current Line
4860,5239.751226,Current Line
4860,5271.737883,Current Line
4860,5173.7148,Current Line
4860,5515.83637,Current Line
4860,5204.441292,Current Line
4860,5332.120292,Current Line
4860,5209.330329,Current Line
4860,5263.811895,Current Line
4860,5283.008058,Current Line
4860,5336.841171,Current Line
4860,5396.870951,Current Line
4860,5355.755726,Current Line
4860,5423.937853,Current Line
4860,5341.286356,Current Line
4860,5291.445615,Current Line
4860,5298.450685,Current Line
4860,5345.024024,Current Line
4860,5215.327892,Current Line
4860,5127.274546,Current Line
4860,5252.195805,Current Line
4860,5258.30482,Current Line
4860,5456.637801,Current Line
4860,5346.934077,Current Line
4860,5286.897912,Current Line
4860,5023.897016,Current Line
4860,5363.603806,Current Line
4860,5289.013235,Current Line
4860,5354.96892,Current Line
4860,5411.355318,Current Line
4860,5219.516716,Current Line
4860,5266.692272,Current Line
4860,5212.817917,Current Line
4860,5278.220313,Current Line
4860,5185.31352,Current Line
4860,5397.780317,Current Line
4860,5178.175339,Current Line
4860,5034.620035,Current Line
4860,5283.993468,Current Line
4860,5159.861093,Current Line
4860,5220.970008,Current Line
4860,5437.301987,Current Line
4860,5236.507912,Current Line
4860,5278.194394,Current Line
4860,5334.293661,Current Line
4860,5295.574459,Current Line
4860,5214.595526,Current Line
4860,5197.056983,Current Line
4860,4984.38381,Current Line
4860,5310.872054,Current Line
4860,5297.291113,Current Line
4860,5438.416306,Current Line
4860,5368.629589,Current Line
4860,5449.86294,Current Line
4860,5417.817215,Current Line
4860,5098.741685,Current Line
4860,5353.196868,Current Line
4860,5240.950358,Current Line
4860,5252.371631,Current Line
4860,5388.376023,Current Line
4860,5209.084603,Current Line
4860,5232.448802,Current Line
4860,5106.857582,Current Line
4860,5221.423791,Current Line
4860,5453.052284,Current Line
4860,5460.052638,Current Line
4860,5043.873077,Current Line
4860,5091.443842,Current Line
4860,5373.381734,Current Line
4860,5236.445713,Current Line
4860,5305.505,Current Line
4860,5334.699272,Current Line
4860,5400.518058,Current Line
4860,5364.911438,Current Line
4860,5113.388279,Current Line
4860,5262.464331,Current Line
4860,5324.428068,Current Line
4860,5210.784002,Current Line
4860,5275.42202,Current Line
4860,5173.043347,Current Line
4860,5453.619878,Current Line
4860,5448.834868,Current Line
4860,5195.398996,Current Line
4860,5269.127998,Current Line
4860,5244.747927,Current Line
4860,5330.335984,Current Line
4860,5180.92366,Current Line
4860,5232.415218,Current Line
4860,5359.00489,Current Line
4860,5394.831046,Current Line
4860,5452.716791,Current Line
4860,5274.861182,Current Line
4860,5241.238971,Current Line
4860,5271.453469,Current Line
4860,5205.048919,Current Line
4860,5324.383849,Current Line
4860,5362.101678,Current Line
4860,5192.113077,Current Line
4860,5210.138677,Current Line
4860,5458.576227,Current Line
4860,5261.521654,Current Line
4860,5218.344982,Current Line
4860,5159.452803,Current Line
4860,5418.44097,Current Line
4860,5225.747584,Current Line
4860,5214.523238,Current Line
4860,5329.357217,Current Line
4860,5257.275581,Current Line
4860,5447.476548,Current Line
4860,5276.78739,Current Line
4860,5275.9532,Current Line
4860,5298.836799,Current Line
4860,5247.370591,Current Line
4860,5332.616475,Current Line
4860,5310.698314,Current Line
4860,5354.490756,Current Line
4860,5303.699797,Current Line
4860,5335.335404,Current Line
4860,5220.360349,Current Line
4860,5169.666756,Current Line
4860,5222.428005,Current Line
4860,5415.501703,Current Line
4860,5490.697078,Current Line
4860,5289.185479,Current Line
4860,5324.547164,Current Line
4860,5122.471187,Current Line
4860,5235.63463,Current Line
4860,5208.892768,Current Line
4860,5554.212244,Current Line
4860,5157.583683,Current Line
4860,5401.875526,Current Line
4860,5321.011473,Current Line
4860,5212.001826,Current Line
4860,5224.561663,Current Line
4860,5261.28427,Current Line
4860,5174.715259,Current Line
4860,5167.663117,Current Line
4860,5179.53141,Current Line
4860,5299.401902,Current Line
4860,5077.905002,Current Line
4860,5201.853263,Current Line
4860,5273.437659,Current Line
4860,5212.008943,Current Line
4860,5281.261458,Current Line
4860,5219.474234,Current Line
4860,5232.981985,Current Line
4860,5249.644369,Current Line
4860,5190.236066,Current Line
4860,5343.692333,Current Line
4860,5281.000624,Current Line
4860,5539.264716,Current Line
4860,5327.698994,Current Line
4860,5325.058651,Current Line
4860,5275.685713,Current Line
4860,5147.081312,Current Line
4860,5329.342601,Current Line
4860,5351.457971,Current Line
4860,5321.684377,Current Line
4860,5165.767318,Current Line
4860,5324.247343,Current Line
4860,5295.78068,Current Line
4860,5071.149617,Current Line
4860,5325.04728,Current Line
4860,5404.46621,Current Line
4860,5210.74933,Current Line
4860,5173.78855,Current Line
4860,5217.82304,Current Line
4860,5422.21074,Current Line
4860,5231.69314,Current Line
4860,5386.64194,Current Line
4860,5389.10449,Current Line
4860,5384.73954,Current Line
4860,5312.58048,Current Line
4860,5220.34614,Current Line
4860,5240.00031,Current Line
4860,5380.59673,Current Line
4860,5279.20356,Current Line
4860,5295.48611,Current Line
4860,5245.45338,Current Line
4860,5333.00368,Current Line
4860,5178.52269,Current Line
4860,5383.80373,Current Line
4860,5420.12906,Current Line
4860,5287.73308,Current Line
4860,5370.22507,Current Line
4860,5191.4547,Current Line
4860,5143.44948,Current Line
4860,5355.19033,Current Line
4860,5247.26988,Current Line
4860,5330.63241,Current Line
4860,4997.38602,Current Line
4860,5245.64752,Current Line
4860,5433.15326,Current Line
4860,5204.37845,Current Line
4860,5146.97014,Current Line
4860,5355.47972,Current Line
4860,5253.22374,Current Line
4860,5241.93031,Current Line
4860,5367.90737,Current Line
4860,5213.04972,Current Line
4860,5228.41739,Current Line
4860,5373.99398,Current Line
4860,5320.68185,Current Line
4860,5255.62966,Current Line
4860,5211.37668,Current Line
4860,5256.60183,Current Line
4860,5267.48806,Current Line
4860,5261.08709,Current Line
4860,5333.4814,Current Line
4860,5314.00106,Current Line
4860,5340.53508,Current Line
4860,5255.73618,Current Line
4860,5380.18308,Current Line
4860,5351.29878,Current Line
4860,5275.88967,Current Line
4860,5343.08216,Current Line
4860,5477.25719,Current Line
4860,5356.75333,Current Line
4860,5298.67323,Current Line
4860,5325.0286,Current Line
4860,5227.55366,Current Line
4860,5256.41091,Current Line
4860,5295.84527,Current Line
4860,5235.72628,Current Line
4860,5260.81569,Current Line
4860,5517.46068,Current Line
4860,5381.20488,Current Line
4860,5215.69461,Current Line
4860,5020.24457,Current Line
4860,5233.68657,Current Line
4860,5309.41783,Current Line
4860,5158.47084,Current Line
4860,5309.3244,Current Line
4860,5339.57729,Current Line
4860,5281.0856,Current Line
4860,5352.35779,Current Line
4860,5269.71203,Current Line
4860,5325.55125,Current Line
4860,5370.54522,Current Line
4860,5226.13578,Current Line
4860,5282.71377,Current Line
4860,5105.09366,Current Line
4860,5336.83676,Current Line
4860,5318.41992,Current Line
4860,5318.00407,Current Line
4860,5356.38391,Current Line
4860,5448.03242,Current Line
4860,5417.14046,Current Line
4860,5214.27772,Current Line
4860,5128.16951,Current Line
4860,5151.34199,Current Line
4860,5370.58237,Current Line
4860,5158.45803,Current Line
4860,5281.50553,Current Line
4860,5226.61846,Current Line
4860,5413.96412,Current Line
4860,5335.00345,Current Line
4860,5215.33418,Current Line
4860,5258.20512,Current Line
4860,5121.13644,Current Line
4860,5292.80533,Current Line
4860,5499.9535,Current Line
4860,5244.25951,Current Line
4860,5198.89129,Current Line
4860,5283.52619,Current Line
4860,5187.48871,Current Line
4860,5387.26923,Current Line
4860,5221.37621,Current Line
